"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jamaal Williams","GB","RB56","83.7","335.1","1.3","31.8","228.5","2.4","0.6","77.1"
"Jerick McKinnon","SF","RB57","92.9","404.5","2.2","23.6","205.0","0.8","1.1","76.8"
"Adrian Peterson","WAS","RB58","120.3","481.4","3.0","14.3","118.4","0.2","1.3","76.7"
"Ito Smith","ATL","RB59","75.9","317.7","3.9","26.6","195.6","0.5","0.7","76.1"
"Michael Pittman Jr.","IND","WR78","3.0","13.0","0.0","38.8","537.4","3.7","0.6","76.0"
"Eric Ebron","PIT","TE19","0.0","0.0","0.0","45.5","507.7","4.0","0.1","74.6"
"Chris Herndon IV","NYJ","TE20","0.0","0.0","0.0","41.5","512.2","3.7","0.1","73.1"
"Blake Jarwin","DAL","TE21","0.0","0.0","0.0","42.7","498.8","3.8","0.1","72.6"
"Joshua Kelley","LAC","RB60","111.2","458.2","3.6","7.7","62.3","0.2","1.2","72.3"
"A.J. Dillon","GB","RB61","105.8","444.6","4.0","6.2","51.7","0.2","1.1","72.2"
"Darrynton Evans","TEN","RB62","77.7","345.4","2.1","22.0","205.2","1.0","0.7","72.1"
"Laviska Shenault Jr.","JAC","WR79","10.8","75.2","0.1","36.9","513.3","2.5","1.1","71.9"
"Jalen Richard","LV","RB63","75.3","323.0","1.4","36.1","316.2","0.5","1.7","71.8"
"Russell Gage","ATL","WR80","3.8","15.1","0.0","51.5","513.6","3.3","0.6","71.5"
"Chris Thompson","JAC","RB64","59.6","247.3","1.4","37.4","339.5","0.8","0.7","70.5"
"Anthony McFarland Jr.","PIT","RB65","100.2","406.9","2.7","13.8","111.7","0.7","1.2","70.0"
"Kyle Rudolph","MIN","TE22","0.0","0.0","0.0","40.9","396.6","4.8","0.1","68.5"
"Antonio Gibson","WAS","RB66","49.4","205.8","1.4","37.1","345.9","1.2","1.2","68.3"
"Josh Reynolds","LAR","WR81","6.4","35.3","0.1","33.4","477.8","2.6","0.1","67.6"
"Ian Thomas","CAR","TE23","0.0","0.0","0.0","48.6","462.6","3.8","0.6","67.6"
"Tee Higgins","CIN","WR82","2.0","9.0","0.0","35.7","504.9","2.8","0.6","67.2"
"Greg Olsen","SEA","TE24","0.0","0.0","0.0","36.7","466.1","3.4","0.1","66.8"
"Giovani Bernard","CIN","RB67","80.6","302.4","1.7","31.4","243.3","0.3","0.8","65.5"
"John Ross","CIN","WR83","5.0","16.9","0.1","27.6","435.4","3.5","0.7","65.1"
"Irv Smith Jr.","MIN","TE25","0.0","0.0","0.0","48.9","484.3","3.0","0.6","64.9"
"Kenny Stills","HOU","WR84","0.0","0.0","0.0","30.6","446.0","3.4","0.1","64.6"
"Adam Humphries","TEN","WR85","2.0","5.0","0.0","46.4","478.9","2.9","0.6","64.3"
"Jace Sternberger","GB","TE26","0.0","0.0","0.0","39.3","395.5","4.2","0.6","63.3"
"Antonio Gandy-Golden","WAS","WR86","0.0","0.0","0.0","35.1","497.9","2.2","0.2","62.7"
"Mohamed Sanu","NE","WR87","5.0","19.0","0.0","50.0","499.0","2.0","1.0","61.8"
"Gus Edwards","BAL","RB68","90.9","448.7","2.0","6.1","47.7","0.2","0.7","61.2"
"Dante Pettis","SF","WR88","0.0","0.0","0.0","23.0","310.0","5.0","0.0","61.0"
"Chase Claypool","PIT","WR89","0.0","0.0","0.0","31.3","410.3","3.4","0.2","60.8"
"Jimmy Graham","CHI","TE27","0.0","0.0","0.0","41.3","452.4","2.6","0.1","60.7"
"Dawson Knox","BUF","TE28","0.0","0.0","0.0","37.2","466.5","2.4","0.1","60.5"
"Zach Pascal","IND","WR90","2.0","19.0","0.0","27.4","393.2","3.2","0.5","59.6"
"C.J. Uzomah","CIN","TE29","0.0","0.0","0.0","41.5","387.4","3.5","0.1","59.4"
"Phillip Dorsett","SEA","WR91","2.2","13.4","0.1","28.0","380.8","3.4","0.4","59.4"
"Albert Wilson","MIA","WR92","6.1","35.8","0.1","47.4","453.5","1.8","0.6","58.9"
"Darren Fells","HOU","TE30","0.0","0.0","0.0","31.0","298.6","4.8","0.1","58.5"
"KJ Hamler","DEN","WR93","2.1","12.3","0.1","35.0","426.1","2.4","0.2","58.1"
"Ted Ginn","CHI","WR94","3.6","22.2","0.1","30.3","435.5","1.9","0.2","57.2"
"Tre'Quan Smith","NO","WR95","0.0","1.0","0.0","23.2","310.8","4.3","0.1","56.6"
"Tyler Eifert","JAC","TE31","0.0","0.0","0.0","36.3","389.6","2.8","0.1","55.5"
"Gerald Everett","LAR","TE32","0.0","0.0","0.0","36.0","400.6","2.5","0.1","55.2"
"Allen Hurns","MIA","WR96","2.6","15.6","0.1","32.8","422.6","1.8","0.6","54.0"
"Jaylen Samuels","PIT","RB69","44.3","155.4","1.0","37.0","255.9","1.4","0.7","53.7"
"Kendrick Bourne","SF","WR97","0.0","0.0","0.0","25.2","323.0","3.5","0.1","53.2"
"Dan Arnold","ARI","TE33","0.0","0.0","0.0","25.2","335.5","3.1","0.1","51.8"
